,users,tweets
3716,realDonaldTrump,A total loser! https://t.co/vm3Vv2f9jf
7461,TomiLahren,"Love him or hate him, he’s still their obsession. They can’t do anything without talking about him. Must suck to be that deranged and pathetic. #MAGA"
8070,TomiLahren,"Hey guess what, you can still pout in your own time! Suck it up! https://t.co/gCPyI9dJGv https://t.co/pTeGEMbonv"
8281,TomiLahren,@TomiLahren Uhhhh @chrissyteigen / @johnlegend
8566,TomiLahren,Millions of taxpayer dollars and still NO EVIDENCE! Money suck. Time suck. Attention suck. https://t.co/Zvb3a7Gtac
9457,TomiLahren,Well ain’t that some shit. https://t.co/QCXWdi4qky
10540,AnnCoulter,"""fuck off I'm talking"" https://t.co/GDqCTOBpvQ"
12076,AnnCoulter,"The Pats were like ""ok, enough of this shit."""
12217,AnnCoulter,"""ignorant bastard, THROW THE FUCKING STICK"" https://t.co/aP2Mwuq5rV"
12752,MADENAMERUCA,"@mel_faith1 If that were my kid, my foot would go up her ass"
12776,MADENAMERUCA,"@ChatByCC @realDonaldTrump @steph93065 @Rockprincess818 @Lrihendry @ChristieC733 They already got me, starting over AGAIN, this is so bewildering Im tired of this shit"
12927,LastStand2019,Mines not for sale....but you can kiss my ass at no charge https://t.co/oriSiWF0mN via @BreitbartNews
13270,LastStand2019,@LastStand2019 @BreitbartNews She needs to shut her pie hole
13397,LastStand2019,"Kamala Harris flip-flopping like Mitt Romney in a frying pan, but she's also down around 8 points in the polls. So that might be the least of her problems.
 https://t.co/p5JiZ5alUs"
13717,LastStand2019,Bill Kristol is a sociopath. Closet commie. 100% scumbag. Loser. Jealous &amp; bitter at how badly he got @realDonaldTrump wrong. Only surpassed as loser &amp; jealous bitter as--hole by Mitt Romney.  https://t.co/arezmWMbXy via @gatewaypundit
13766,LastStand2019,"@LastStand2019 Go sniff a hairy smelly BUTT , Buttigieg..<U+0001F923><U+0001F923><U+0001F923> Buttigieg..you can make this stuff up. And he's PROUD of it....shame on you  Buttigieg"
14164,LastStand2019,"@LastStand2019 @realDonaldTrump I say hell no, until they come up with their taxes I say screw them all."
14167,LastStand2019,@LastStand2019 @realDonaldTrump That’s typical of liberal hypocrites
14760,LastStand2019,@LastStand2019 @BreitbartNews BLT and I would eat it and watch him burn
14883,LastStand2019,Mines not for sale....but you can kiss my ass at no charge https://t.co/oriSiWF0mN via @BreitbartNews
15727,LastStand2019,@LastStand2019 A BIG FAT... https://t.co/X3664K1adP
15772,LastStand2019,@LastStand2019 She is a complete imbecile
15864,LastStand2019,"@LastStand2019 Man, I hate that bitch."
16162,Mecdty,@MarkDice I’d rather get kicked in the Nuts than eat dinner with those assholes!
16286,Mecdty,@HillaryClinton Coming from the mouth of the most Disgusting Corrupt Bitch on Earth!
16423,Mecdty,@Jamierodr14 @realDonaldTrump @DevinNunes <U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB>
16429,Mecdty,"@Jenn198523 @Emaxx2044 They are the peaceful people! Bullshit, Fukking Animals!"
16486,Mecdty,"https://t.co/K7AmxPcBJ4

NOW he wants to keep his BIG MOUTH shut <U+0001F644>"
16514,Mecdty,"@DeepStateExpose People need to fight back, if your going to get your ass kicked then take one of them with you! Grabem by the balls and don’t let go!"
16556,Mecdty,@BarackObama Liar! You don’t give a Rats Ass! You only care about Muslims ! How many of your friends are wearing bombs today?
16574,Mecdty,@NeensCa @GavinNewsom Fuk the school system! And Lgbqrzyfotm!
16672,Mecdty,@CarlosSimancas I’d have to kick my own Ass!
16673,Mecdty,@fedupcitizen16 She’s a Fukking Moron!
16709,Mecdty,"What a bitter, jealous loser Mitt Romney is. I speak for 63 million <U+2066>@realDonaldTrump<U+2069> voters when I say: We are sickened by you. You are a GOP coward &amp; traitor. We all know you’d rather see an open borders Democrat. #LOSER https://t.co/zJNKiyv2HF"
16720,Mecdty,@catturd2 Fuk Mitt! Never cared what that Ass had to say about anything!
16812,Mecdty,@Objectivity2018 @RoscoP1971 @1776Stonewall There should be charges against you for being a moron !
16910,Mecdty,@brianstelter It most really SUCK being you! I’d have to kick my own ass if I woke up every day you!
17231,Mecdty,@charliekirk11 @MAGA2ARIGHTS @RealCandaceO A bunch of ignorant punk ass kids that don’t even know which bathroom to use! Their mommies and daddies got to be proud!
17246,Mecdty,"@NetflixFilm Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick,Chick flick"
17357,Mecdty,Such a beautiful religion of peace. Kill kill kill kill kill kill kill kill kill kill kill https://t.co/d8Q9Aa79RT
17400,Mecdty,@MAGA2ARIGHTS @gatewaypundit You can put lipstick on a pig but it’s still a pig
17412,Mecdty,@RealTrumpLady @gatewaypundit You can dress a Pig in all gold but it’s Still a Pig
