"screen_name","text"
"HillaryClinton","I'm excited to see @CecileRichards, @aliciagarza, @aijenpoo, and the Pantsuit Nation community build this powerful new force for gender equity. Supermajority's goal is to train and mobilize 2 million women over the next two years. https://t.co/vorkl8sMZG"
"HillaryClinton","I condemn this act of domestic terrorism. It’s no accident that hate crimes are on the rise. We cannot turn a blind eye to the fact that the president’s embrace of white nationalist rhetoric, and other politicians’ lack of condemnation of this rhetoric, is fueling these attacks. https://t.co/hNxAsntady"
"HillaryClinton","So, we did this.  Hillary Clinton Reads the Mueller Report - Klepper https://t.co/3g9tS9uudm via @YouTube"
"HillaryClinton","Bill, Chelsea and I are excited to meet a @ClintonFdn supporter next month in New York! Your support helps change lives around the world—hope you'll throw your hat in the ring to join us: https://t.co/bt5Fht8s2b"
"HillaryClinton","This was... cathartic. Thank you, @JordanKlepper! https://t.co/hr1kBu0fkB"
"HillaryClinton","Thank you for a delightful evening, and please pass along to Jake that a positive review from him goes a long way in our house! https://t.co/AX6PMQWvkB"
"HillaryClinton","Looking forward to sitting down with Bill and the one and only @StarJonesEsq in Connecticut tonight. Star has already mentioned she wants to talk Mueller, so we'll talk about the report—along with some lighter topics! See you in a bit, Wallingford."
"HillaryClinton","It's been 5 years since the start of the water crisis and Flint still does NOT have CLEAN WATER. COC members and supporters rode to Lansing to continue to fight for access to clean water for their community. #RememberFlint #5Years2Long https://t.co/hcfnhPh2rL"
"HillaryClinton","November 2020 isn’t the finish line, it’s a milestone. That’s why it’s up to us to make sure we have a nominee that fights for all of us, who sees all of us and hears all of us. 

Are you ready to take the #WeAreIndivisible pledge and get to work? https://t.co/QufXi1KOG4"
"HillaryClinton","Grateful for this progress even as we all know that every additional day of delay is a tragedy. https://t.co/lBGKjDIIHw"
"HillaryClinton","After a decade of amazing progress in combating deaths from malaria, progress has leveled off over the past few years. Malaria is an entirely preventable disease that kills a child every two minutes. This #WorldMalariaDay, let's renew our collective efforts to end it."
"HillaryClinton","Robert Mueller's report documents a serious crime against the American people. All Americans should demand action and accountability.

@PostOpinions https://t.co/oBUbJWCIhR"
"HillaryClinton","A piece of good news for reproductive rights: A judge has blocked the administration’s Title X gag rule. “At the heart of these rules is an arrogant assumption that the government is better suited to direct women’s healthcare than their providers.” Indeed. https://t.co/sr8NhkUtdh"
"HillaryClinton","Adding a citizenship question to the Census would undoubtedly lead Latino and other residents to avoid responding. The resulting count would be inaccurate, unfair, and unrepresentative—a failure of democracy with real consequences for states and communities."
"HillaryClinton","This is despicable. The Trump administration is not only ceding America’s role as a leader on the human rights of women, it’s actively working against those rights. We all have to work together to right this wrong and undo this damage. https://t.co/L5IWLLy2eB"
"HillaryClinton","This is not just about a reckoning with the recent past. This is about what is going on today and threats to our next election, to our defense as a nation. https://t.co/9zHq7oc7OQ"
"HillaryClinton","Tune in now! https://t.co/VKXowOjCVy"
"HillaryClinton","I enjoyed telling @annfriedman about one of the many times I'm glad I followed my mother's advice. 

Eighteen years old and away from home for the first time, I considered leaving Wellesley College. Mom told me to stick with it. I'm so glad I did. https://t.co/l8ZkpJwc8D"
"HillaryClinton",".@RunForSomething has endorsed 38 incredible new candidates, including a Navy Reserveman running to improve health services for veterans and a community organizer who wants to give back to the town that took his family in as refugees. Meet them all here: https://t.co/Bpth5AEC5H"
"HillaryClinton","Wonderful news: Three communities of worshippers in Louisiana have surpassed their fundraising goal to rebuild after their historically black churches were lost to arson. Thanks to everyone who contributed and spread the word. https://t.co/uNLCzgmsrN"
"HillaryClinton","This #EarthDay, I'm thankful for the millions of young people around the world who have marched and gone on strike to demand action on climate change. 

We know what we need to do: Cut greenhouse emissions in half by 2030. Now we need to do it."
"HillaryClinton","On this holy weekend for many faiths, we must stand united against hatred and violence. I'm praying for everyone affected by today's horrific attacks on Easter worshippers and travelers in Sri Lanka."
"HillaryClinton","Wishing love, hope, and renewal to everyone celebrating Easter today."
"HillaryClinton","To all who are celebrating, chag Pesach sameach!"
"HillaryClinton",".@BillClinton on the 20th anniversary of the Columbine school shooting: “The powerful example of today’s young activists, and the enduring commitment of Columbine survivors and their supporters, give us hope that we can pass sensible gun legislation.” https://t.co/54Bp4dyxmi"
"HillaryClinton","We have 38 fresh faces running for office that you NEED to meet <U+0001F447>"
"HillaryClinton","Meet the future of progressive campaign staffers. <U+270A><U+0001F3FD>

#ArenaAcademy https://t.co/pkhu7wnEGc"
"HillaryClinton","Congratulations to @nellwyn for becoming the new CTO for @TheDemocrats. She's a brilliant technologist and leader, and the first woman ever to hold the position. https://t.co/o6SfPPjBFC"
"HillaryClinton","Thank you to Yale and my fellow secretaries of state—@Madeleine, @CondoleezzaRice, and @JohnKerry—for yesterday's conversation about America's place in the world. 

We face enormous challenges and it’s always an honor to talk with dedicated diplomats determined to solve them. https://t.co/IKOIpv4kI7"
"HillaryClinton","I'm so proud of @TerryMcAuliffe for his continued leadership in Virginia. It’s absolutely crucial that we win back state legislatures ahead of next year’s Census and redistricting process, and that’s exactly what he’ll help do in his home state. Thank you for your service, Terry."
"HillaryClinton","@yashar It fills my heart with joy and gratitude to see people come together for such a worthy cause and turn a tragedy into a reason for hope. Let’s help get this over the finish line! Link to donate: https://t.co/1qD50Zt55J"
"HillaryClinton","It's wonderful to see @LeahGreenB and @EzraLevin recognized for their contributions through @IndivisibleTeam, one of our @OnwardTogether partners. 

As @AyannaPressley says, they are ""a constant source for good."" #TIME100 

https://t.co/uRNm4oZTJK https://t.co/CRwDEcrwOf"
"HillaryClinton","As we hold Paris in our thoughts today, let’s also send some love to our neighbors in Louisiana. Three historically black churches have burned in recent weeks, charring buildings and scattering communities. If you can, contribute to rebuilding funds here: https://t.co/OSteYWzU9v"
"HillaryClinton","#SB9 targets people of color, the elderly, and disabled Texans, and criminalizes innocent voting mistakes. It’s up to us to make sure it doesn’t become law. #StopSB9 

https://t.co/AlytCHy4Ts"
"HillaryClinton","Here's what an administration would do if it wanted to responsibly deal with immigration and asylum requests at the border. The answer does not include separating families and putting babies in cages. @WomenInTheWorld @FareedZakaria https://t.co/TdYWOQdVcf"
